用户名,评论
匿名用户,特意来写点评。疫情期间，憋坏了孩子们。无意找到这里，体验了完美的一天。4家8大5小包场。全程就我们，完全不用戴口罩。环境不错，地方也比较大。中午孩子们面条，大人们烧烤。下午拔野菜，喂小动物。孩子们玩游戏，骑车，玩沙子，都是不错的选择。					
爽歪歪不呆呆,【推荐理由】特别好的场所，在这里孩子跟大人一起恢复农耕生活，找寻祖先的农耕文化，也是我们中国人最原始的生存之道。在这里可以让孩子分辨五谷，蔬菜。让我可以真的拿起小锄头，挥动挥动，有那么几下他就知道累了，再有几下手就知道疼了，在干会就流汗了，在干会就知道粮食来之不易，要格外珍惜了。在这里也让他知道了杂交水稻之父袁隆平有多么了不起了。【交通】特别方便开车来，停车免费，车位多【服务】很多服务员对孩子都特别友好，而且担心他们的安全，总是嘱咐注意安全，特别热情暖心总之值得推荐					
匿名用户,共享花田亲子农场~虽然没什么采摘的了~但是居然还有这么厚的雪~意外收获~比儿童乐园海洋球小滑梯什么的强多了~买的是198元10斤苹果加喂小动物的套票~一整个下午就我们一家子~包场的感觉~就是没有什么菜可采摘了~随便摘了点香菜和菠菜~称重之后抵了一斤苹果~苹果还是很好吃的~孩子很爱吃~					
王一洪王老师,这一趟来值了，农庄很有特色。可以采摘苹果，喂养小动物。农场厨房可以自己摘菜自己做饭，还有KTV，各种桌游。而且老板老板娘都特别耐斯，老板还是射箭冠军。超赞。夏天还要射箭比赛。可惜是冬天来的，下次天气暖和时过来玩肯定更棒，可以晚上草地上自助烧烤，喝啤酒，体验农场露营。值得好评！					
苏小猫11,刚好赶在初雪这天来到花田，落地玻璃窗边吃着火锅晒着太阳看着外面的雪景别有一番滋味，青菜很新鲜很好吃，室内有桌面足球，很多有意思的绘本，还有蔬菜鲜花拓印，室外可以喂小动物，还可以雪地里打滚，小朋友们玩的很开心，外面的表情包大驴和那个忘了叫什么羊的羊是今天的搞笑担当。老板很善谈很nice还很逗，等春暖花开再过来玩，那时候游乐设施多，小朋友们应该会更喜欢吧					
dpuser_12682649357,一起都太好了！天气好！环境好！秋千，小动物投喂，滑梯，绿草地，蔬菜大棚，苹果树，烧烤，一切的一切都太美了！从早上10点多一直玩到晚上8点，好久没撒丫子跑了，一定会再去的
讨厌仓鼠的夜猫子,很适合孩子玩的地方，孩子已经迫不及待的要约自己的同学再过来玩了，老板和老板娘人特别好，老板娘还教我们做了蛋糕，中午的烧烤也是货真价实很值得推荐
HawkbirdChen,遛娃的好去处。有沙子，有动物，有秋千，有各种活动，也有餐。服务也挺好的。去的时候还看见一窝小狗，虽然看着不干净，但是很可爱。孩子们在这里玩儿很开心，太阳下山了还不肯回家。我们在这里还认养了一颗苹果树。
造型师李江_6903,整体环境不错适合亲子出游的好地方
jiasmiling,很好玩很有趣，庄主和庄主夫人热情洋溢，妙趣横生，不可不来。
北方莽汉,服务人员很热情，有耐心，里面有许多小动物，可以喂养。
贪吃的小豆豆0,玩了北京周边很多亲子农场，这里是唯一一个孩子去了两次还闹着去第三次的地方！当初也是随便搜的，看网评不错，就说带还是试下新的，以前去过的那些不是路太远不好走，就是项目比较单一，去了一次就觉得没什么劲了，还有的就是去的时候你很开心，觉得商家如何好，结果后来发现自己被坑了，所以一直没有哪里特别满意的，可是这家感觉真的不一样。首先，路程近，路好走，一路柏油马路，还有公交特别方便。其次，项目多，采摘主要以苹果为主，菜有很多种，时间不同东西不一样，建议去之前联系，或者商家也可以定期公布在网上，大家自己查询，省去很多沟通麻烦。另外还有自助烧烤，露营，儿童户外乐园，动物喂养，夏天还有超大泳池很干净，还有很多别的项目，射箭什么的，让孩子大人都有的玩，有的学，感觉像自然课堂。再者，老板人很好！这点我很满意，说真的，老板和老板娘属于那种人很直的，说话不拐弯抹角，所以从商业的角度看，也许刚接触还会有些不适应，但是接触一下就发现他们人很好，这也正是在都市里累坏了的人最需要的东西，很难能可贵！最后再说东西，都是纯天然的，玉米特别好吃，苹果🍎更是如此，味道特别棒！菜都很好吃，黄瓜是那个味儿，跟市场上常见的那种口感不一样，口感很脆很甜，可惜我们去的那次不合适，指摘到两小根，吃一口满车的香味儿。					
七爷,久闻大名，抽空走起，周末在家午睡，睡醒一瞅快四点了，我们到哪儿玩会去呢，大众点评一搜有个顺义农家乐还亲子的，遂走起，到了都快关门了。没啥人，就剩老板娘一个人了，非推荐认养个小苹果树树苗，结果没买。然后在院子转一圈，发现植树区的老农都下班了没看着的，爸爸立马捡起来一颗树苗给种上了，嘿再跟别人一样系上一根红丝带，一分没花省三百！明年，来院子里看看我们混在果园老板果园里的小苹果树结几个果子。					
豁然开朗1003,孩子们玩的很开心很多种小动物尤其是驴这种平时不常见的孩子看到特别兴奋。那天有点下雨所以没有采摘喂完动物直接去烧烤了。必须划重点我家孩子比较小所以最开始烤肉的时候没有放调料想着先让孩子吃结果！后来大家吃的全程都没有放调料羊肉和小腰子太香了只要烤熟就可以直接吃完全是食物本真的味道。肉质够好才能如此！另外炸酱面很优秀我个人吃了两碗					
纳尼沃特你说啥,孩子班里活动帮着踩点时找到了这里，老板是一位很酷的女生，加了微信后看到她喜欢射击，和她聊时说到射击她的眼睛是放光的，很喜欢这位妹子。之后包了一棵苹果树，当时特别划算才400元，上周六我们去收苹果，哇哈哈哈哈一共收了90多斤，特别开心！孩子亲自摘苹果没有摘够啊！就是远苹果树也是看运气，我们选的这棵结的果多但每个苹果都不是太大，有的果树苹果数量不是太多但个个饱满。这里还有小动物，姑娘很喜欢喂驴和小羊们。还有一片游玩区一个小沙坑，孩子可以玩一阵子。家庭可以带娃来体验，幼儿园搞活动也可以来这里，有需要联系美丽的老板吧！					
antalige,拖了好久终于来花田了，和小朋友一起在果园里找叶子和花瓣，做环保提袋拓印，很有新意，小朋友很好奇，还可以喂小动物，有鸡鸭鹅，🐷狗驴羊，成片的苹果园可以采摘，苹果汁多很甜好吃，还可以烧烤，就是现在天有些冷了，可以亲子或家庭朋友聚会，总体体验不错					
大盗阿里麻麻,郊外遛娃好去处[交通]京承大广高速下了没开多远就到了会经过一个小村落不要惊慌跟着导航走穿过去就是[推荐理由]吃喝玩一体可以玩上一整天吃里面有自助烧烤不限量的158一位儿童半价自己选有炉子炭火比较方便玩1有喂小动物的区域有猪小兔子小鸡小鸭小型动物会给个篮子放一些菜喂它们2靠近门口有攀爬的区域有木有做的攀爬还有秋千孩子们撒花玩3不定时有活动我们参加的是托印发了一个环保袋让孩子们在院子里找树叶🍂放在袋子里用锤子砸出花样很有意义亲子都参与的活动就是给老母亲们累坏了4有一个大房子可以茶歇有儿童读物和玩具也够孩子们玩上半天5采摘区域我们去的时候是摘苹果的时节院子里到处都是秀色可餐的水果看着就好吃可以摘可以买苹果又大又甜6亮点还有老板养的一只大狗超乖和朋友们在草坪在也能互动玩耍亲近小动物内容很丰富不想去远地方周末郊区游是非常不错的选择					
爱小七,[交通]出了高速跟着导航直接就过来了比较好找[特色体验]主要是采摘全是苹果树苹果很好吃采摘的话20一斤喂小动物可以自带菜屋里有娱乐区看书下棋都有可以烧烤捡树叶做拓印可以拓展区域不小[推荐理由]适合亲子互动带小朋友来很不错[tips]建议小龄的孩子带点吃的					
入道_1626,偶然在网上看到共享花田的活动，抱着尝试的心情前往。刚好赶上包苹果树的活动，为了让小朋友能有个多外出运动的机会就包了一棵树，果树有花田的专业人员管理，所以我们只是定期去看看就好花田除了果树还养了一些小动物和为儿童设计的活动项目，很好玩又安全。家里有小朋友的可以考虑前往，会很开心。					
flora,周末溜娃的好去处。自己在大众点评中无意搜索到的亲子乐园。没有提前预约，周六早上海淀这边下起了小雨，怕亲子乐园玩不了，就打了电话咨询，老板接的，态度很和蔼，告诉我乐园没下雨。可以去。开车走六环，跟着导航1个小时就到了。带了2个小朋友，一个3岁，一个7岁，都玩的很开心，158元有3个小时自助烧烤，还送了一篮蔬菜，还有一些拓展活动。老板和老板娘，还有服务人员的态度和服务都特别好。肉串虽然种类不多，但是都很新鲜干净。下次还会再去。					
慕容雯雅*静,3个家庭，6大3小，价格比较偏贵了，3岁以上孩子价格跟大人一样158元/位，自助烧烤……食材：羊肉、鱼豆腐、鱼丸、小腰等肉类比较新鲜，苹果很甜，还有炸酱面赠送。环境：有苹果园可以采摘，价格198元12个苹果，老实说有点贵了……门口有个草坪，孩子可以铺个底垫玩耍，晒晒太阳很舒服。旁边有个儿童娱乐区域，有攀爬区和秋千，还有一些宠物可以喂～猪、鸡、羊、兔子、驴～					
恬恬,公司给的优惠票实际体验与想象略有差距但是总体还行场地整体面积可能挺大的吧但是大部分是种植园所以实际活动面积不是特别宽敞可能是季节的问题植物已经开始破败了没有看到最美的一面小动物区还是不错的各种小动物都很可爱小朋友喂小动物很开心最后临走领了一箱苹果这个要给个赞真的很甜					
璐宝宝_1220,收费太贵了。性价比不高。首先，门票一进门，每人收38元门票费，给了一筐蔬菜，可以去喂小动物，然后可以看儿童绘本，可以玩一些小玩具。所以为了进门，我们一家五口一共花了190元，最后大家是坐在木头椅子上看孩子跑跑跳跳三个小时，就走了。其次，苹果价格，无论是否采摘，大概198元20个苹果吧，很贵。最后，烧烤，忘了多少钱一位了，即使食材好，可也还是太贵了，价格赶上星级酒店了，环境却比不上啊					
是李毛毛呢,在大众点评上找到的一家亲子采摘乐园，比较好找，刚到门口，就被一颗颗苹果树上红彤彤的大苹果给吸引住了，太诱人了。于是，团购了一张198的采摘苹果的券，可以采摘12个苹果，还有一小筐的青菜可以喂小动物。小孩子喂小动物，和小动物互动，玩的很开心。摘苹果感觉有些不太划算，因为其他的采摘园一般情况下都会让采摘的时候品尝一下，这里不允许品尝。不过还好，198的券含12个苹果，自己采摘完，品尝了自己的采摘成果，苹果都比较甜，水分很大，很好吃。					
隽菡,超赞的亲子游场地，苹果采摘巨好吃，各种有机蔬菜，还可以玩，大人可以烧烤，整整玩了一天，孩子都不愿意走
沙漠绿洲,朋友推荐的地方，的确是很不错的.....
dpuserAt_0626864427,太棒了，很适合带孩子去玩，带个足球在草坪上踢会球，中午带着孩子一起体验烧烤，老板人也很好，看我是一个人带孩子还特意过来帮忙，给您点赞哦，还赠送了一杯现榨的苹果汁🍎🍎🍎，吃饱了又可以拿着小篮子去喂小动物菜叶，（很遗憾没有拍照啊），门口的地方还有儿童游乐区，很开心的一天，下次要约朋友一块过去					
蜡猪花,公司团建来的这边。园子不少亲子游乐设施，每个小朋友会给发一个小篮子，可以喂小动物食物～拓印说实话有点累，但是重在过程，还是很开心的！他家苹果很好吃，除了贵没毛病！自助烧烤还得很划算的，大虾挺良心！射箭课程的教练很专业，讲得又通俗易懂，涨了不少姿势！总之，活动丰富多彩，既好玩又解馋，还长了见识，孩子们又开心！					
1633827_51返利,我竟然忘了给这家店写点评，一直想好好写写，工作一忙又忘了。部门组织亲子活动，选了很久都没有选到满意的地方，后来大众点评推荐了这家农场，点进去一看觉得就是它了！跟其他的烧烤或采摘的地方不太一样，这家农场环境很漂亮，一看就是精心打造过的，理念我也很喜欢，貌似不同的节气都会组织一些相应的科普活动，让小朋友更亲近自然，并熟悉我们的传统文化。活动很丰富，烧烤、喂小动物、射箭体验、采摘……大人小孩都能兼顾。一天下来大家玩得都很开心。开票出了点问题，美女老板一直很耐心地帮我解决，很感谢。					
Swan小婉,朋友推荐了好几次终于有机会来了后悔天都凉了才来！看见大门才意识到跟一般的采摘园农家院不一样有专门给小朋友玩沙的地方秋千攀爬架这就够我闺女玩大半天了等她听说前面还有小动物可以喂饭都不肯吃了小动物种类很多第一个居然是猪我闺女没见过实物所以格外宠溺他小猪很干净而且很温柔吃东西特别斯文哈哈哈珍珠鸡鹅鸭子还有火鸡小兔子超级可爱很多种类很意外还有长毛兔小狗狗驴还有小山羊超级温柔小姑娘一边喂一边摸很是开心室内装修的很好感觉很适合小朋友开生日会还可以在花房里吃饭感觉很好卫生间干净是加分项！门口那片草坪深得我心草坪质量特别好平时公园极少有允许踩踏的草坪孩子终于可以放肆的在草坪上跑跳甚至打滚看着两小只在草坪上跑还有狗狗幸福感爆棚～可采摘的种类挺多的老板说蔬菜是有机的吃起来的真的是不一样玉米又糯又甜是特别甜的那种白菜也是清甜可口苹果我闺女一口气吃了3个…那个品种的苹果虽然很贵但真的好吃这次光顾着跟娃玩得开心都没有顾上拍照片下次要多拍一些总体来说我觉得性价比挺高的溜娃胜地！肯定还要再来的～					
*于小惠*,环境真不错听朋友推荐的这家游玩的地方。小动物那叫一个多啊！猪，狗，火鸡，山羊，驴子，公鸡母鸡，挺多种类的。可以无限提供菜叶子让你喂。还挺好玩的。还有大草坪可以玩耍。本来想吃烧烤，天气有点凉没吃成。很舒服的一个地方！					
小元小圆,肉串质量不错，但是种类偏少，连鸡翅都没有……限量每人有一只手掌大的大虾和一个有机苹果；会有炸酱面真的很好吃呦！烧烤在一个大棚里有十来桌的样子，但就是太闷空气不流通！老板娘人很好，帮忙冰镇了自带的矿泉水！院子里还有一小块沙土地，滑梯和喂小动物的地方(会给喂动物的一小框食物)					
hzjmcat78,假期和小朋友相约一起去农场玩。团购的套餐，包含自助烧烤和喂小动物。喂小动物区域有猪、羊、驴、小兔子、鸭子和鹅。小朋友喂的很开心。烧烤在一个大棚子里，人多的话烟大，熏人。老板很热情，看我们不会弄，还亲自帮我们烧烤，边烤边指导。还有小朋友玩的区域，有秋千、沙池。农场里种满了苹果树，我们去的时候苹果还没熟透，不能采摘。					
dear_115,坐标：西良路良善庄村西北200米处交通🚴‍♀️：从五环自驾京城高速按导航走大约1个小时就好停车场不大，大约能停个30多辆车两边都是苹果树，这个季节去，满树的苹果熟透了，咬一口嘎嘣脆，好吃😋[特色体验]1/自助烧烤食材不错，新鲜.2/品种挺全的娱乐项都有小小的挑战，适合稍微大一点小盆友3/地头采摘的新鲜蔬菜🥬，水灵还有好多没来得及体验，下次还会在去滴就是夏天烤串区苍蝇有点多，建议商家消灭消灭					
赵罗_7889,孩子喜欢采摘和烧烤，从大众点评选了这家排名第一的有机农场。真的很推荐，菜是有机的，可以放心吃，烧烤可以说是我去的最良心的商家了，用餐在苹果园里很有意境，肉品也是很好不是那种外面批发的东西，肉质新鲜而且不膻，有绿豆汤免费的，自助不爱喝可乐和雪碧可以选。接待我们的阿姨带着草原里采摘特别热心，还帮忙介绍，挑最好的菜，小朋友很开心，阿姨说夏天有西瓜和香瓜七我们约定好夏天一定再来。此外这里特别适合团建和小朋友组织活动，干净整洁，晚上可以露营。					
董小姐ds,能认领一颗苹果树，到秋天整树苹果都是你的；能喂喂小猪小驴，小兔火鸡；能玩玩沙子，户外拓展；能露营看星星看月亮看飞机；最最最重要的，是能吃到获得过17次射箭冠军的天津老板亲自烤的小串，那手艺简直不要太赞！这一次露营给孩子留下了美好的回忆；一个月后会再去丰收大苹果。这是一个每年必来几次好地方！					
阿萨阿,童趣十足的共享花田，各种有趣各种洋气！美食、体验、各种的乐趣真针儿的适合孩子探索与释放[太阳]有多大？我没记住～地主👲家儿女啊！一年四个季，季季值得来
maggie1802,环境特别好，合适带小朋友来玩可以喂小动物，可以采摘，有一块大草坪可以玩游戏，踢足球，公司团建也一级棒！
混合动力猫熊,灿烂的格桑，满枝的苹果，纯净的友情👭👬……三个小伙伴采摘的鲜花💐插瓶，挺美一个老朋友大朋友小朋友都玩得不亦乐乎的桌上足球⚽️#感谢祖国的安定富强，我们可以岁月静好#
蘑菇蘑菇蘑菇,烧烤的烤炉挺小的，人多，棚里热，烤的时候得等。小动物味道大。孩子玩的玩具老旧，也没啥玩具。要说玩，也没啥玩的，要说烧烤，路远的话，也没必要跑这么远来，毕竟烤串的种类也不多。
dpuser_90752254007,周一带孩子去的，闭园日，但老板和老板娘人特别好，超级热情，帮我们烤串，又陪孩子玩，陪吃陪聊陪玩，非常愉快，甚是投缘，下次还会光顾。
FRONT_de_小可爱,公司团建，在大众点评上看到，就决定是他了[tips]前期联系就觉得小姐姐声音特别好听，很温柔，喜欢～～体验中-小哥哥全程天津单口相声，有趣的灵魂烧烤、植物拓印、射箭、采摘等活动非常有趣，一天下来，大家都觉得非常开心院里可以停大巴车，整体环境也很干净～很推荐！亲子，团建，家庭游都可以的～					
冰冰,单位组织来共享花田玩了一天，大家都玩得很开心，还摘了玉米，喂了小动物，还做了植物拓印的帆布包，老板专业级教练亲自教大家射箭，老板和老板娘人都巨好无比，中午的自助烧烤也很棒，以后有机会还会带家人和朋友继续来玩。					
xddfish,离市区不算远，环境还可以，相比去过的其他农场，空间比较局促。游乐项目有喂小动物，一个小的游乐场和自助烧烤。小动物有鸡，鹅，鸭子，猪，兔子，驴和羊，每种不多。其他就没什么了，烧烤的肉质量不错，炸酱面比较难吃。服务中规中矩，但138的价格对于这么小的空间来看，有点小贵。					
吃客来也,同事带小孩一起去聚会，赶上九月最热的尾巴，又赶上另外一个幼儿园团建，相当拥挤。1孩子的娱乐:有个书架，有一些书，磁力片，积木。外面有个充气水池，没有任何遮挡，太晒了。据说远处还有秋千之类，太热了，也没去体验。2吃的:烧烤地方真够热的，自己烤，不过肉和鱼豆腐还可以。孩子吃炸酱面，还挺爱吃。其他没了，饮料和冰淇淋单买。3喂小动物:鸡鸭在最底下栏杆没有开口，没法让孩子喂，还有一头驴，几只羊可以喂，不过小孩子有点害怕大动物。4采摘蔬菜:最想吐槽的部分，100块钱4斤蔬菜或者5根玉米。蔬菜有茄子，大葱和韭菜可选。大葫芦50块钱一个。25一斤的天价菜，20块钱一根的玉米，头一次见。					
aaabbbccc888,老板获得了很多射箭冠军，对亲子教育活动有独特的思考和设计，服务用心到位，环境优美拥抱大自然！金秋时节，可以享受采摘+烧烤+喂小动物等体验的乐趣，值得一去！同时，老板作为一位职业的体育人，退役后自主创业，我们应积极力挺，这是一种体育精神的表现！还有召集共享合伙人的众筹模式，如果你想一起探索，这是一个开放的共享空间...					
dpuser_7402504413,团建去的，整体感觉还行。室内有个图书角，适合小朋友们。可以做印花帆布袋，就是在农场现采树叶和花瓣，用锤子砸出纹路，挺好看的。但价钱不便宜，一个将近100块钱吧。家长们可以淘宝买帆布袋，随便找些叶子和花瓣在家制作，很简单的。烧烤就不吐槽了，热到爆…					
tgmailuser_9835282878,极力推荐给各位宝妈宝爸，特别好的一次亲子农场体验，这可是我一暑假连跑了4家不靠谱的农场，终于筛选出来的。所以在闺蜜从加拿大回来，我再次带着闺蜜们和孩子们来到花田，果然没有让我们失望，体验更棒了，首先推荐大家帅哥老板的专业烤串，用果木碳烤出来的羊肉，外焦里嫩，味道让人经常回味啊其次是美女老板娘的王林品种的苹果汁，清甜爽口，也是让人回味的不行；农场内的动物们都很友好，我家儿子在学校做英文PPT演讲时，竟然专门提到他在农场交了很大动物朋友！帅哥老板还是射击冠军，带着孩子们体验射箭、玩飞机游戏，草坪上笑声一片，临走时几个孩子已经对这位叔叔崇拜的不行了！以后准备经常去，整天被关在教室的儿子，尽量弥补他一个花鸟虫鸣的童年！					
elaina7766,老板是射箭冠军国家队的不仅玩得好还免费上了一堂射箭课。老板是天津人，全程天津单口相声，太有趣了！必须点赞顺祝旺福小朋友健康成长！
胡图图1984,作为京郊农庄真的非常不错小孩有玩的烧烤环境不错肉也不错只是3岁小宝半价其实也有点贵
maldinilj,草地、动物、采摘，孩子们玩的超级开心！去之前最好提前联系老板，有时候人太多，尤其是节假日和周末。昨天遇到一个小男生，追着姐姐叫妹妹，超可爱！
Joy_4461,周末带娃～人比较多，服务跟不上，烤串的阳光棚通风不好～风扇也是坏的。免费的绿豆汤、雪碧备的少，压根没喝到～这些都还可以接受！最主要有个别人服务态度很差！很差！
哆米妈咪,👶🏻遛娃胜地北京｜共享花田｜可以自助烧烤~对于一东北人来说太满意了，肉质也不错！建议多点品种，像一个后花园可以喂食小动物也可以看花看草玩儿谁真的很不错！朋友聚会带孩子一起都可以~
过过1110,老板很年轻，农场特别干净卫生，还有小动物和游乐设施，等苹果成熟了再来一次。
楓找房子零点,蔬菜从采摘到吃用了一个小时
DonkeyMu,周末一起和朋友去的，环境真的很不错，而且老板很热情人还特别实在~很多小动物可以喂，烧烤种类也很多，还有专业的教练教射箭，真的很棒！团建聚会的可以来，以后有时间还会带朋友来的！
阳春三月艳阳天,第二次去和第一次感受真是差远了，也不知道是现在顾客多了飘了还是怎么的，我们自带食材给了场地费，没有什么服务不说，还爱答不理的，场地破的不行，一股子臭味儿，全是苍蝇，劝大家慎行吧，反正再也不会去了，也不会推荐朋友去，伤心难过😤					
在曦58,给个中肯的评价吧，第一次去的时候他们那里第一次烧烤，我们玩的还蛮开心，也完全是因为老板态度的原因。我们还帮着大力宣传也是因为觉得老板还不错。因为我们的肉是从老家自己带回来的，只用了场地，可能消费的少，但全程的态度和第一次完全不同。连见面起码的招呼都不打了，尤其是男老板，但只用场地费400只用炉子碳什么抹布的也算可以了吧，该有的服务是应该的吧。要调料男老板说你们不是自带食材嘛？我们可以不用，但既然张嘴了又是调料不用这么计较吧，还不高兴的说让自己进去拿，我们没去最后也没给我们送来。最生气是最后要走的时候我是觉得再有落差感我也应该处于礼貌打声招呼告别，男老板到好意思问我垃圾收拾了吗？语气还是不乐意的那种。我靠我都蒙了，我来你这消费你问我这话怎么想的。当时我按耐住不开心还好生说你看一下不行我们重收拾？我们走的时候把所有垃圾都整理在一个袋子里那是我们自我素质的问题，你做服务的说这话是没脑子嘛？我出去说给他们听完朋友们都想回去找他说道说道，但说算了吧下次不来就可以了。我来你这消费做生意最重要的是服务和态度，不能因为这次的消费钱少就改变态度，这样会损失老顾客而且是做不长久的，服务业最重要的是不带有色眼镜对待每一位顾客。中肯的评价是觉得创业不易，但不能看人下菜碟，每个消费者都是以后的潜在客户。					
dpuser_4056847082,朋友上次来说感觉特别好，老板很热情，结果这次和朋友一起来也不知道是我们没用他们的食材让老板不开心了还是现在这个地方厉害了接的都是大团队不愿意搭理我们这些小散客，态度特别不好！！卫生更是糟糕，全是苍蝇，密集恐惧症都犯了，还有粪一样味道的草。想想真的很搞笑花着钱遭罪不仅没有服务还那种态度，再也不会去了。最后奉劝老板这么做生意做不长久的。					
小奕奕007,第二次来农场，一次比一次体验好，每次来活动都很丰富，夏天的自助烧烤和水枪大战不能更赞，孩子们在农场里肆意玩耍，大人在屋里喝茶聊天，就是伸手可及的向往的生活啊！一直赖到晚上七点多才离开，晚上还蹭了农场主特制麻酱面。下次估计就自带食材，约上小伙伴一起来聚餐，或是带上帐篷夜宿，一起仰望星空🌃更多权益解锁，提前联系农场主哦					
～丘山岳～,单位组织的一次亲子活动，种韭菜莲，手绘草帽，喂动物园，采摘，中午就餐时等了大概1小时，发饭很慢，大概从没承担过大型活动，饭的味道一般，吃的不够可以续。可以玩的很多，孩子们都玩的不亦乐乎。感觉比较适合人少的时候玩，人多了承载力有限。动物园的动物都不怎么好看，感觉一喂动物都饿疯了，过来抢，似乎只有游客来喂。					
千上,没有预约直接过去，没想到天气热直接包场了。因为很热，只喂了小动物，其他位置没有去逛。老板人很热情，还帮助我们烧烤，自助烧烤食材很好，原汁原味。饭后小朋友还玩了射箭，很开心。天气太热，更多时间呆在室内。天气凉快了，约上小伙伴一起，周末小聚的不错去处。不知道下次过去人会不会很多					
hanhanxy,超赞的聚餐选择！和闺蜜一起聊天拍照烧烤射箭，空气清晰，有酒有肉，远离嘈杂，真正的世外桃源。烧烤的种类很齐全，菜品很新鲜，自己生火，国家冠军老板亲自教学射箭，留洋研究生老板娘拍照技术一绝！已经和老板成为朋友，下次有时间一定还会再去哒～					
李月甜,地方虽然不大，但都很让人舒服。夏天一起打打水仗，烤烤串，还是很棒的地方。这家提供的羊肉特别好吃，炸酱面的味道也很棒。小朋友们还可以在充气水池里游泳，到后面的“小动物园”里喂小动物。活动内容可以很丰富，推荐！					
匿名用户,感觉超棒，男女主人热情好客，烤串超级好吃，园子里各种小动物适合带小孩子来玩，苹果园的有机蔬菜和苹果非常好吃😋茶室、娱乐室、酒吧很有情调，适合家庭、团队来玩！非常推荐，值得拥有！
熊尼维,家庭同行，享受大自然的美景，享受生活的乐趣！
pikaqiu29950925,孩子很喜欢这里孩子玩的设施比较新喂动物的地方比较干净今天采摘了有机大葱豆角黄瓜茄子中午在这里吃了老板做的杂酱面味道不错等秋天苹果熟了来摘苹果
w7yu,每年都去摘苹果，黄色那种超级脆甜好吃。园内还能摘好多种蔬菜，还能喂动物，带孩子去很好。
dpuser_8193015660,射箭冠军免费辅导，自助烧烤，肉质还行，就是可能冻的时间太长不太新鲜，要是个晴朗的天气夜里可以露营看看星空还不错
christinal05,小朋友玩的爽，大朋友吃的嗨。老板的肉串质量高味道很好。孩子们撒出去玩不用管了，家长只管烤串喝啤酒
大可宝宝,烧烤自助很不错，店主热情，还帮忙烧烤
maxine0617,"周末6家朋友一起去共享花田聚会！团购的118的烧烤套餐烧烤食材很新鲜,管够;孩子们做了植物拓印,喂小动物;老板还专门准备了一个巨大巨大的泳池,我们带着水枪水球去的大人孩子们都玩high了;老板老板娘都非常好沟通,尽力配合我们聚会,感谢💐下次班级聚会再去~					"
bobbie9,说说来这里的几个特色吧！第一：院子挺大，有游乐区、苹果地，动物区，餐厅和授课区域等！孩子可以尽情的在这玩闹！第二：我们是来参加种树活动的，一共种了3棵树苗，有孩子的小铲子和小水桶，孩子来可以尽情一看享受种植的快乐！第三：这里定时有一些亲子课，讲种子树苗什么的，还有包青团比赛什么的！第四：这里的小动物都可以喂食，菜叶比较爱吃，不爱吃玉米粒，小动物们都挑食了呢！第五：游乐区有很多锻炼平衡啊，体能啊，勇气啊之类的，孩子都很喜欢，可惜我们是下过雨来的，裤子上都是泥了！总之，还不错！没发现要门票的，不知道随便进来会不会被发现，哈哈😄！					
单点豆包,熊孩子要喂兔兔🐰，爸爸就要赶紧找点评帮忙。经过多轮筛选，最后选择这里。老板听口音是天津的，专业射手，帅气，实在。老板娘比较细心，颜值在线。院子算不上奢华、精致，但感觉恰到好处，舒服。烧烤自助里羊肉最给力，其他一般。被一个幼儿园打水仗的战火波及啦，浑身上下都湿透了……熊孩子从上午九点玩到下午四点还不愿意走					
猫猫的大多多,带娃来玩的路程不算近但去了感觉还是可以的体能运动的设备不少有沙坑动物也挺逗的大驴吃东西很可爱性格也很好羊很活泼室内没啥玩的弄个手工啊小玩意的挺好的吃的不算多但都是基本餐食不会有什么问题孩子吃也比较踏实总体挺好的					
魏忠彬,本想着种树对于宝宝来说应该是挺有意义比较有趣的...于是大众上找到这家亲子农场...99元领了三棵树苗，毫无互动环节，农场里可玩的项目也是少之又少，一个小时足以搞定，因为到的晚就选择在这里直接就餐...130两大一小，孩子直说不好吃没的可吃总之这个地方的性价比太低了，不推荐！					
【已注销用户】,一家三口奔着植树，种花来的，环境还好。想带着孩子体验一下小时候的感觉，不错的地方。游客也很多，午饭内容：大人50元/人，2岁一下儿童30元/人（伙食不错，适合一家老小）。小动物有🐔和小狗等。有一些娱乐设施。					
喑小嘟兒,幼儿园组织的欢乐游，昌平出发，一个小时车程，孩子们做了手工拓印、种了花🌸，午饭安排吃的有机蔬菜，下午老师带孩子们喂了小动物、坐在草地上体验奥尔夫音乐课程，一天玩的很嗨！孩子们就应该多亲近大自然啊，活动不错！					
周光宇,去的时候还没完全建好，开车去的，路程还算可以，从家过去大概一个小时的车程。当时去有幼儿园在那里搞活动，现场挺热闹的，里面有啥子，滑梯，平衡木，秋千供小孩子玩的，还有一些驴羊等等的小动物可以喂养。里面还有采摘，我们去的不是时候就没摘。还是值得一来等着地方。					
周周,在某平台团购的植树节活动！带着小朋友从南城跑到了北郊！单说环境其实还算可以、只是如果玩一天的话有点勉强的！开车来一趟、小朋友能玩的有些少！再有就是植树节的活动、从组织到种树、仪式感都差强人意了些！应该多给小朋友们些互动、讲一讲植树的意义可能会更好。其他均为自由活动了！可能希望抱的有点大、略微有些失望。					
