用户名,评论
sxj821201,很喜欢的一个地方第一次来是个偶然，本来定好了尺木无山，结果在出发前一天被告知关门了，可是已经答应了小朋友，直接取消行程孩子会特别失望，临时搜到葡萄瓦舍，正好有房，一行四家人就这么临时决定了，草坪对于三四岁的孩子已经够用了，还有小动物，秋千，滑梯，最省事的是把孩子撒在院子里，只要看好了大门，就不用担心了第二次招呼了同事们，把房间都定了，又是一个包场的局，自助烧烤食材很良心，可能是中午那个团队吃的太多到我们晚上这场花生毛豆上了两盘就没了对他家烧烤除了串还准备了凉菜水果，随便吃，因为人多老板还帮着烤，真是太惬意了～～房间比起一般的农家院都好，主要是装饰的会洋气一点，性价比真的在了！一个保留的据点，特别好					
beaubeau_dp,(⑉°з°)-♡『带娃耍』之🏡🏞🌈【葡萄瓦舍】(*๓´╰╯`๓)♡〔～前言～〕————————清明小假期，带娃出去耍，定了顺义的温泉酒店，第一站先去了『尺木无山』，无奈人太多，饭都吃不上，无意间发现了一家高大上的农家院『葡萄瓦舍』(❁´◡`❁)*✲ﾟ*〔～位置～〕————————上午九点左右从亦庄出发，不知道是不是这条路不堵车，导航给我导的路线很绕，一会高速，一会村庄，我去趟顺义，还给我整出京了……不过一路还算好走，只是略堵，约11点左右抵达，距离尺木无山也就2分钟车程。〔～住宿～〕我在院子里看了下，房间看上去很干净，配色很阳光，我个人很喜欢，房型有好几个，还有阳光房，有机会想去度个周末，因为没有住，不做过多的评论。〔～餐饮～〕———————主要来的目的是吃饭，农家饭真好吃，点了一条鱼🐟，侉炖的，肉质鲜嫩，但略微有点不入味，也许是炖的时间短，炒豆角真是超级好吃，我自己吃了一盘，两大一小两个菜+米饭178元，不是很便宜但好在食材新鲜。〔～设施～〕———————真的刷新了我对农家院的印象，自有他的气质存在，整体配色及摆件看得出有设计感，好好拍拍可以出超美的照片。室外有滑梯、有小动物、有秋千、有草坪……带娃度个周末的好地方，推荐(❁´◡`❁)*✲ﾟ*					
肆月间,"大风天儿里蓝天就像童话一样漂亮，再配上树林和草地就是宝贝们最开心的周末时光。""打破娃娃蛋""感觉再次袭来，七个家庭九个大大小小的孩子聚在一起，请脑补欢(hùn)乐(luàn)画面。我们这回选择了住在葡萄瓦舍，晚上又在葡萄瓦舍烧烤，老板很热情好客，陪着孩子们玩。葡萄瓦舍能够让更多的家庭更经济实惠的聚在一起。但是很多东西需要自备，比如拖鞋，比如烧水壶。孩子们彻底玩疯了，每家都带些好吃的好玩的来，一起抢着吃抢着玩，呲哩哇啦之中增进了友谊，增长了本领。一周末下来放了风筝，踢了足球，钻了帐篷，滚了草地，最后带着一股土味回到姥姥怀抱#风大有点冷，暖和点会更好#					"
xuruilaw,是个很适合团建的地方。一群人来这里烧烤，然后东西全给准备好了，环境看起来一般，但很适合放松心情。可以采摘葡萄，还可以挖红薯。大人小孩都玩得挺开心的。地方有点远，不跟着导航走根本不知道怎么走。然后郊外的空气还是很清新的。对了，还可以挖花生，体验生活啊！哪怕弄得脏兮兮的，也觉得挺有意思。夏天树木郁郁葱葱的，也是避署的好地方，不会觉得太热。然后大家都玩得挺开心的，每个人都找到自己喜欢的方式去休闲，还是很不错的。					
赤焰永明,朋友公司组织采摘，这家应该主打葡萄和有机蔬菜，进门的看班上有可以购买的产品的价格。十人一组，人齐了才可以进去采摘。在承重的地方有剪刀可以借，但数量不多，我自己带着多功能刀，可以锯下来，建议大家也自备家伙。不知道之前是什么情况，我觉得葡萄烂烂哄哄的，有的纸袋里没有葡萄，有的掉了不少珠，有的或烂或蔫儿……别人说绿的也甜，我们才摘的绿色葡萄，如果真摘紫色那估计是不太够的，一串没多少紫色。承重时觉得他家人挺实在，我两次都摘少了，让我回去再摘摘，不会强买强卖，这家隔壁摘苹果的就不地道。有块草坪，一个小风车可以拍照，地方不大。后面有养一只鸵鸟。能带狗。如果条件允许的话希望卫生间能改一改……					
真丶女汉子,这家其实我觉得挺一般的…采摘：九月中下旬基本都没啥可摘的了想说来都来了还是带孩子摘点逛半天都找不见能摘的葡萄…不是烂的就是青的…游乐设施和环境：挺干净的有个小草坪（很小）有个滑梯孩子很喜欢玩了好久有鸭子啥的洗手间很脏吃饭：饭菜口味不错也干净价格不算低服务：基本就一个大男孩忙活人手不太够的感觉整体就那样以后应该不会再来了					
森蝶isCindy,首次家人祖孙三代农家乐体验选址这家，理由是我们需要的功能都能满足，走进农家院，院落干净整齐，在角落有个圈养的家禽篱笆院，有只驼鸟，还有火鸡，并进去抓了一只母鸡，中午炖食，138元一份，抓到那只炖那只，下午去菜地拔了菜，拔什么菜吃什么菜。总体评价一下，设施简易卫生条件尚可，九百元一晚的三室一厅，床单明显没有换过，但没有脏迹，蔬菜价位持平于北京餐厅，比十渡民宿高，麻将不是机麻，硬件配备属经济简易型，客观评价一下，综合品质中下，以赚钱为原动力，并不推荐。					
冯四小姐槑槑,本来是奔尺木去的，没想到人太多根本排不上队只好另选地方。葡萄瓦舍吃亏在它比较靠里，还有一个开心农场挡着。但环境绝对比开心农场好。很。多！讲真农家饭价格不低，我们点了炸蘑菇味道还比较惊艳，因为店家炸的不是香菇、不是平菇、也不是杏鲍菇，而是金针菇。吃完饭宝宝在草坪上跑了跑，还有滑楼梯玩的不亦乐乎。这里可以采摘，还有个小动物园，有鸵鸟、鹅、火鸡。					
玛奇朵不含糖,老板为人和善，单位集体团建活动。可以摘葡萄，每斤20元，给箱子和剪子，可自行摘也可以代摘。晚餐是烧烤，品种比较多，也不浪费，早餐较为单调，只有小米粥，馒头和鸡蛋，而且时间限制比较紧，过了9点就没有了，有很多同事都没吃上，因为前一天睡得晚。环境很好，有集体照相的地方，屋子干净整洁，秋天天气冷建议多穿。离湿地公园不远，早上可以去步行溜公园。					
Camille_粗,很喜欢的一处地方，正赶上周末天好，带孩子去撒个欢。这次来一停好车，就听说后面有鸵鸟，小孩对这个特感兴趣，拉着去看。鸵鸟在后面的果园散养，趁它不注意抓拍了一张，效果还不错。这里主要可以摘葡萄，20元一斤，大小朋友都很喜欢。					
崚格格,住在尺木无山，一搜周边，竟然离葡萄瓦舍这么近以前在朋友圈看别人来过，以为挺大的，没想到其实一般，除了风车拍照好看，其它的就跟以前去采摘的地方没什么差别～～葡萄确实很甜，没想到还有西梅和李子，味道也不错，老板说现在其实是果子种类最少的时候～七月份来最好啦～～					
Mrscheese,在汉石桥附近跟着导航很好找，院子里有一片绿地孩子们可以疯跑，还有滑梯和一些动物，老板很热情，午餐味道也不错，价格合理，就是餐桌、餐椅不太干净。
dpuser_3883188022,两个问题：一是老板太会拍图片调色了，实际草坪大小也就照片感觉的四分之一，照片美好的高期待让实际来了后有种大失所望的感觉，这种被忽悠了的感觉会导致不会再来。二是沟通上不实在，预订时明确表示是请朋友来户外烧烤而不是吃店里的烧烤，来了后告知不能自助烧烤，推脱说客人没有说清楚，把微信记录拿出来又说前一天派出所开会通知的不能户外烧烤，这事本来很简单，能就能不能就不能，派出所如果传话了告知一声，非要这么不清不楚的把大家忽悠来，害的我们作为组织方聚会完全搞失败，朋友们平时都很忙，聚一次也不容易，结果大家意兴阑珊的吃了顿饭走人了，如果我们要吃烧烤有必要驱车一个半小时来这让店里给我们烤吗？做生意可以通过网络迅速做成网红，但多少网红后又很快销声匿迹，一个店如何做的长久做到可以吸引回头客，我觉得老板应该考虑考虑。					
福小多,本次出游必须差评，非常失望。极度失望，有种把客户当傻子的感觉。首先说下葡萄，也许还没到季节，非常酸，根本不甜也就理解了，后来我们去挖红薯，一米50块钱，老板嚷嚷着挖吧，能挖一大袋子一大筐够吃好几顿的，结果一米我们只！挖！了！6！个！！！其中4个是小不点！！结账的时候老板也不嚷嚷了，刚才的热乎劲立马变了脸，当没有看到故意和别人聊有的没的，他们员工突然来了句，挖红薯就涂个乐呵。呵呵了，你10块钱一个红薯乐呵去吧！大家千万别来！！图片为证！					
dpuser_1811719201,公司团建聚餐，想找个热热闹闹的烧烤项目，朋友推荐来到这里；这里环境还行，挺干净的，有绿草地，有小长廊，室内餐厅，几间住宿屋；小长廊可以打麻将，进行烧烤；这家吃的味道不错，烤羊肉串肥肉适中，肉串很大，鸡翅也好吃，烤鱼真不错，烤虾比较新鲜，个头大，大家都反馈吃的味道不错老板比较热情；这么热的天一直在帮我们烤串；美中不足就是天气太热了，餐厅空调开到最大，人一多室内也不够凉爽，游戏活动、采摘和湿地游玩也无法进行，所以要来还是要凉快一些，吃的更舒服完的更好！适合家庭聚会，小团建20人左右。					
苛刻美食家,在汉石桥湿地对面，看到点评上评价不错才来的，有停车的地方。园子很大，但园主急匆匆的帮我们摘了一些葡萄和桃子，其他地方也没提议让我们去逛逛，没有体验到采摘的乐趣，也没有看到点评中说的各种小动物，有点遗憾。葡萄要到八月份才熟，桃子口感不错，但甜度一般，有虫子🐛。					
欣美美520,一个非常适合小朋友聚会的地方，挖土豆、采摘蔬菜水果，捡鸡蛋、喂小动物……最好的是有一块儿草坪可以在上面疯跑！踢足球玩儿滋水枪！真的是太过瘾了！就餐环境也很好，可户外可室内～我们这次的儿童餐和桌菜都很满意，老板还送了自己包的粽子，哈哈哈哈端午节快乐😆					
荒烟蔓草的年头^O^,位置不错，离汉石桥湿地很近，就在对面，环境也很好，绿色庄园。本来打算吃烧烤的，但是需要提前预约才可以，所以，想吃烧烤的同志要注意了。没办法只好点炒菜了，素烧茄子不错，板栗焖肉一般，葫芦丝很好吃。还可以采摘，有点小贵，杏十块钱一斤，摘了二斤，吃着还不错！可以带孩子来玩玩，还有小动物可以看，鸵鸟，火鸡！					
xfi,看了葡萄瓦舍微博很心动，在北京能找到环境不错还可以烧烤的农舍不多。想来葡萄瓦舍心里长毛以久，这一次提前了俩礼拜终于预约上了，我们是九月份去的。停车位充足，停车位对面就是沙子堆，小朋友玩的停不下来。然后我们去找了订桌的地方，炉子碳都是老板提前给收拾好的，我们很省事，拿出来准备的各种食材，开始愉快的BBQ，但是遇到了一个团队建设人很多显得有些拥挤，如果可以在紧挨着草坪的花架下烧烤就好了，这样就可以边烧烤，小孩子们边在草坪上玩我们也可以盯着。吃完饭我们就开始采摘葡萄二十一斤比市场的新鲜又特别甜，然后又去了其它的蔬菜小院还有小孩玩的滑滑梯，玩的设备很多。很充实的一天，如果时间充足还可以去附近的汉石桥湿地公园搭帐篷、划船。本来近期还打算再去，谁料时间过的太快天气变化太快......					
欧阳玛丽,我随意找的地方遛个弯，没想到这么好，不像其他农家乐什么似的，很干净很舒服。这个季节店家老爷子说东西很少了，七八月最好东西很多。我们摘了点葡萄真甜，不喜欢吃葡萄的都摘了很多。他们的菜主要是蔬菜本身的味道，应该是根据自己菜园子来调整菜单的。店家是一家子，都很好，服务没的说。					
和子楠,环境不错，服务也还行，不过我们是去吃饭的，饭菜真的太差强人意了……虹鳟鱼感觉用烤箱烤的，我们自己要了孜然撒上去才比较有味儿，大丰收不知道是不是忘记放盐了，一点味儿都没有，不过这道菜还是跟肉一起炖才好吃……羊肉串和铁板虾仁还可以。					
domit_940,性價比很高！老闆人很熱情，地方乾淨整潔，還有超級可愛的鴕鳥和火烈鳥，難得一見哦~
靠谱的XF,没有多大，不用租门口的电瓶车，与原来的野趣甚远，真的变成公园了。划船可以，半天足够了。
mumu_6275,有一个小草坪，孩子炒鸡喜欢，自助烧烤味道棒棒哒
啵啵葡萄,图片明显夸大了空间，绿地其实非常小，菜品非常少，菜单就是一张小条。
阿木Casey,不错，环境非常可以，周末一块去烧烤不错
endlic,好吃的农家菜只要挺干净的葱花饼是不错的主推面食
ZSZC,提前预定了没想到十二点到的人还是非常多，没有桌位，正好也不太饿就先把菜点了然后去逛逛景拍拍照，顺便摘点葡萄，葡萄已经过了季节所剩无几了，好在还是非常甜美多汁的，摘了三斤而已尝个新鲜，老大爷说八一来差不多，瓦舍里面小景点很多，有个外景草坪，虽然很小但是拍拍照还是挺不错的，还有小鸵鸟和小黑兔一只，萌萌哒，不怕人，吃饭都是在葡萄架下，晚上应该更有情调吧，鱼是提前定好的，很快就上了，烤串真是等了很久，不过味道很不错，串大实惠，鸵鸟油烙饼特别香酥脆，都想在打包一份，炒时蔬和黄瓜萝卜蘸酱也特新鲜，有点意思的农家院，服务员都穿着绿围裙，很绿色环保的感觉					
弓静_4111,不得不说，要不是朋友带着来，真不知道这个村庄里有个世外萄源~~环境优美，空气新鲜~~风车绿地芭蕉叶，可以在草坪上办party，拍婚纱照，做团建，也可以在室内餐厅讲ppt，画白板。无论是公司活动还是个人休闲，都通通可以满足~~周五下班才匆匆赶往，到了已经九点多了，很多人家都睡了，老板还在给我们烤鱼，烤串。烤的虹鳟鱼又入味又鲜嫩，大肉串真是良心出品，肥肉相间，肉大块又多汁，堵车一路到这，吃上一口感觉幸福的直跺脚~早餐的农家鸡蛋真的是小时候的味道，鸡蛋黄的颜色和味道跟超市里买的完全不一样~棒米粥也有跟浓郁的香味~前一天晚上吃了太多肉串喝了不少酒，早晨这样的餐食，既解腻又醒酒~太阳出来就可以去采摘葡萄了~~~秋天还可以摘山楂，打栗子~也可以去菜园采摘新鲜的蔬菜~~真是来了就不想走~这样的农家乐才是真正的农家乐~~					
小蜜糖T,离汉石桥湿地公园很近，🚗过去葡萄瓦舍也就5分钟吧。是一家很有特色的农家乐，占地大约十亩的样子，经过规划，功能区域很完善，有停车场，用餐区，烧烤区，住宿区，采摘区，甚至还有个小小的儿童乐园和草坪。真是麻雀虽小五脏俱全啊。这里还有特色烧烤，可以自备原料，租用烤炉或者全部让老板搞定，我们选的是后者，不得不说烤串儿真是实在啊，又过瘾又解馋。居然叫葡萄瓦舍当然少不了🍇采摘，这里的葡萄都是套袋的，老板带我们采摘，开袋的那一刻真是又兴奋又开心，刚摘的🍇用水冲冲剥皮就吃，甜甜好味道。饭后消食偶遇一群呆头鹅，跑得飞快，超搞笑的。友情提示：周末这里要在网上提前预约的					
eatlessbehappy,离汉石桥湿地公园很近，不过路口容易开过，巷子口内纵深150米第二家。农庄内有20余个车位。分餐饮区，游乐区，采摘区和住宿区。可以自助烧烤和菜单点餐。原生态的庄园，食材新鲜现吃现做。烤虹鳟鱼的味道很鲜美，汤汁很入味。粗粮拼盘内的红薯和玉米饼很好吃。炸小河虾酥酥的，味道很鲜。葡萄汁水足，果肉很厚实，跟提子有一拼。老庄主很好客热情，待客有求必应。值得推荐！					
shelleygogo9,提前在网上查了查，去完汉石桥湿地公园之后来这里吃午饭。【环境】地方比较大，一进门是可以在下面露天就餐的室外绿藤，有采摘葡萄，有果树，散养的公鸡，还有民宿，室内的餐厅在院子最里面。是比较现代化的农庄了，不是很传统的农家乐。【口味】因为都是现吃现摘现做，所以等的时间会比较长，但是非常值得。烤虹鳟是中西式结合的做法，锡纸裹黑胡椒还有彩椒大蒜烤的，味道很不一样。排骨炖的很烂很进味，摊鸡蛋跟自己在家做的完全不一样的味道，清炒时蔬是现摘的倭瓜……还买了巨峰葡萄和自酿的葡萄酒，都很不错。					
12456,实际去过以后才知道大众点评的评价肯定是刷出来的，住宿价格不便宜被罩是不换的，房屋到处发霉掉皮，有的房间没有空调，老板很小气，就差上厕所不要钱了，去一个顾客想宰死的感觉，想去的人看一两颗星的评价肯定都是真实的，我怀着侥幸的心理去的，结果真如差评中所说，以后打死也不会去。					
咆哮精神,周末带着奶奶一起去的本来开始要去别的地方结果那里看着没人气果断放弃来了这家门口看着不太显眼进去以后别有洞天很大开车进去停在了杏树下我们是自带的食材老板给提供了烤炉后面有很多种菜的大棚种类很多可以论斤摘有黄瓜菜花圆白菜茄子好多老板特别热情帮忙一起给烤环境真的很好推荐大家去价格也很合理					
Alison_刘,真心不错，老板很热情，环境干净，下次还来
宋晓力,院子很小，服务很一般，5分钟摘完葡萄20元一斤称完就让走人了。如果想一家人采摘休闲不推荐。附近有各种水果蔬菜采摘、吃饭、烧烤的庄园选择很多，如果不是包场就别来了。
me_amber,非常好！汉石桥湿地旁边～单位经常组织我们来玩。非常健康、有机。大串好吃，可以自己烤！葡萄超甜，可以自己采摘！关键是吃起来最放心～有很多小朋友，下午了还有在草地支帐篷的。秋高气爽适合散心放空自己！
wy_space,主人很热心，周到，环境不错，贴心。
咪咪宁_8355,干净卫生，服务热情，适合全家及朋友周末度假，有滑梯，小兔子，小朋友玩的很开心。吃的都是有机食品，味道也很赞
菊柚子,半个月前去的时候葡萄还没熟，这会应该熟了。老板人很好，带我们摘了点早熟品种，送给孩子们吃。还有黄瓜，西红柿，摘了洗洗就吃。停车方便，炒菜大哥炒的不错！
兰花花来评评,今天来到葡萄瓦舍，环境非常好，老板特别热情！吃的都是无公害纯天然食材，好吃又健康！带孩子来或者一家一起烧烤度假都是一个好选择！
慕涵0904,葡萄瓦舍，顺着点评摸来的，环境不错，老板和善，送了好多桃子和葡萄
糖糖0624,朋友推荐的小院看得出老板很用心经营家庭式的农庄到采摘季来可以采葡萄和野菜～我们自带食材来烧烤提前一天预约老板提供烤炉、木炭、场地可以预定小木屋供大人孩子休息屋里可以打扑克、打麻将滑梯、秋千都让孩子们玩的不亦乐乎阳光、小院、烧烤这样的美好时光我们没有辜负在这么美的农庄里度过一天很舒服朋友聚会、家庭聚餐来这里太合适啦					
qzuser_49137569128389634,周末去住宿的，期间停了2次电，停了一次水，卫生间没有灯，屋里很多臭大姐尸体，床头全是土，跟图片中的美好差的有点多，比想象的小，炒菜点了一个茄子一个炒鸡蛋俩碗米饭，一共61，味道很一般，服务几乎等于没有一样，整体都不咋地，跟老板发的朋友圈实在对不上，不会再去了。					
艾诺和迪亚,去年来过这里，是带着孩子采摘。今日再来，不一样的风景和感觉。葡萄架子搭上了，但是葡萄还未发芽，更不要提结果，哈哈哈哈哈整体感觉风景比以前更美了，也许是夕阳的原因，也许是门口的几株桃花的缘故…店家很好客，看到我们进来，赶忙张罗，和老板聊了几句，很是舒服。					
landyshyana,作为这家的回头客，有必要说几句，去年在这玩的体验还算不错，虽然吃饭和采摘都贵了点（连吃饭带摘一家三口人平均花费500块），但几家人带着孩子来玩得也算开心，于是今年又约着几家朋友一起过来。出乎意料之外，今年葡萄采摘完全不让自己动手，庄园的老主人老太太手拿剪刀，刚进葡萄园不到3分种，孩子还没来得及看看葡萄，人家卡卡卡剪下来4、5串，一箱子就装满了，采摘就这样结束了，问我们是再拿个箱子，还是出去称重？我两家朋友第一次来，也第一次见识这样的观光采摘，连说没意思。。又怕我尴尬，就说算了算了就当出来图个新鲜从园里出来的时候正好碰上另一拨游客跟庄园女主人老太太吵起来了，老太太嫌他们在园子里走来走去的，让他们赶紧剪完葡萄出来，小伙子忍不住跟他们吵起来了。。。我相信他们以后是再也不会来了。。。去之前一再问老板，下雨冰雹对葡萄有没有影响，老板说没有，等我们摘完了，老板说，今年的葡萄成熟季雨水太多，所以。。。事实上今年的葡萄完全没法跟往年的相比。。。见l下图，这种货色在超市看都没人看。。葡萄不能随意品尝是事实，老实说也没那么素质差的人，你明说了不能随意品尝还去蓄意破坏葡萄，你家叫葡萄瓦舍，主打葡萄，别的就那么大点地方没什么可玩的，大家来这儿，都是冲着你家葡萄来的，想在葡萄园里悠闲转转带着娃感受感受硕果累累的喜悦，否则大老远来这儿干什么，20块钱一斤的葡萄要多好的都能买到，送到家门口呢另外去年地里有花生，红薯，尾茬的西红柿什么的，现在都没有了，只有葡萄，还不让自己动手摘。。。这是我最后一次来葡萄瓦舍了					
胡同里的小吃货,首先是环境，印象非常深的是一进门的葡萄架，想起了小时候车不多、生活还很悠闲、没有太浮躁的日子，店主的餐厅就在葡萄架下，烧烤和农家餐，味道和价格都是相当的实惠。漫步廊下时不时闻到阵阵暗香浮动，问过店主才知道是曼陀罗花香气，花朵低垂，为凉爽的秋季平添了几分香气。住宿很有特点，都是有主题的房间，颜色亮丽，适合亲子游玩。因为是农家院，条件比较简朴，牙具毛巾等需要自备，热水壶是公用的，烧了热水可用暖水瓶装回屋，感觉好有意思。床铺很干净，房间也很干净，没有电视，晚上没有电视，就突然觉得夜格外静谧，没有电视荧光的骚扰，乡村的气氛格外浓厚，体会了一把伸手不见五指的感觉。不同时间有葡萄和杏还有菜的采摘，可惜我们走的急，没采。偷得浮生半日闲，乡村的味道，真好。					
ypxy,去了一次绝不想去第二次的地方，1吃的：味道极差十个人做的都不他们强2:管理及其混乱，外面的老头跟欠他八百万似得3：农庄不大环境一般消费相当高，点了5个（没有店鱼）菜3碗米饭，米饭不熟，才味道极差					
yoyo20ily,去了好几趟了，葡萄挺好，养的鸡鸭也可以买哦😄
dongdong6214,本来想去看桃花，结果就没开🙄回来的路上想起朋友推荐过，就临时决定去试试～没想到很惊艳，菜品是有机的自己园子里的，味道也很棒～
红豆_208852,团建来的，什么都不错就是苍蝇太多……
无为和无名,漂亮！环境不错，舒服葡萄很甜，青的也很甜。棒棒哒！棒棒哒！有秋千，有滑梯很好，孩子很喜欢！
良军,服务态度不是一般的差，采摘个葡萄好像跟欠他钱似的，品尝的地方苍蝇满天飞，饭菜也比其他的农家院贵，下回绝不在来
珈紫,按照导航很好找，干净清净。。。。。。。。。。。。。
云小朵,第二次来了，带娃玩儿的好去处，农家菜和烤肉串都不错，还能带娃喂鸡鸭，菜地里有个小滑梯，小朋友们可以撒开了跑，有甜甜葡萄可以采摘，旁边的汉石桥湿地公园也是很好的去处
山里的人家,葡萄很好吃，儿童区很赞，几个小伙伴都玩的很开心～菜品大家都觉得不错，不过我本人不太喜欢，觉得菜还有很大的进步空间～
dpuser_74216637577,很棒很喜欢。葡萄酒很好喝。葡萄很甜，20一斤。
朱丽叶,本来给的三星，看了商家的评价真是令人气愤！大众点评去的人就不是客人了？？大老远去一趟就因为你门口写的这不接待那不接待就白跑了？这种经营概念就的早点关门！本来高高兴兴去的，最后特别失望的回！院子设计的挺好，有采摘园有草坪还有室外烧烤的地方。室内吃饭的地方很热，那么大面积一个立式空调根本就不够。没吃饭之前我还是觉得挺好的。再说吃饭，本来看的是有套餐，到了一问也没有，而且烧烤要提前预定也没有，and今天没有羊肉和豆腐，菜单非常非常简单。上菜速度挺快，口味真的一般…能把粘卷子做成甜口也是没谁了，而且我之前吃过的粘卷子里面怎么也得带几块排骨，这倒好，就是土豆炖豆角上面盖了一层卷子，价格60还是70来的；烤虹鳟味道偏咸，黑胡椒味，烤制时间比较久，应该是半条，80元，其他菜都很一般。如果能在大众点评上把烧烤和套餐都写出来，需要预定等条件都写清楚更合适一点。					
huzhijing,大众点评搜到的地方~~~地道的农家院，不算大，但是户主真的很热情，自己种的瓜果蔬菜，很用心，见到了很多品种的水果。吃肉能力不足，所以自助餐并没有吃很多，如果饭量小的话，可以单点，肉串真的很实诚~如果晚上的话可以一起聊聊天，打麻将，打扑克都可以，但是不太隔音，容易影响到邻居。去的有点早，没有赶上葡萄成熟，有点遗憾。PS：去的话建议带上蚊香液、花露水等驱蚊的装备，蚊子比较多，再就是洗漱用品、毛巾、拖鞋等自己带好，那里没有。早餐要记得喝粥哦，很好喝的~					
fuwa_7687,距离瑞麟湾温泉很近，完全颠覆传统概念的农家乐。环境设计的相对新意很多，与一般的农家乐不同，房间装修的比较现代，也很干净整洁，我们定的亲子房，非常温馨的感觉，小朋友特别喜欢属于自己的小床。院子的装饰也很小资情调，有风车，有秋千，有吊床，还有聚会办活动用的大片草坪。特别要提的是他家的超级大肉串，都是老板现穿的，肉块儿大的一个顶仨，一般人三串下肚基本就塞饱了。还有烤虹鳟，烤大虾，烤鸡翅，烤生蚝，骨肉相连和烤肠。老板一家人很好，特别善谈，真是非常愉快的经历。					
woaini0323,"很别致的小院，有喜欢的风车，孩子们喜欢的秋千，滑梯，小白兔，鸡，鸭，小狗，满足了孩子们所有的兴趣，来到这里真的很放松，老板精心研制的菜品,有家的味道，仿佛是妈妈做的，很熟悉，这里的环境和城市的喧嚣行成鲜明的对比，很宁静，很自然，能呼吸到清新的空气，农家院不二选择					"
悟慧_7156,汉石桥湿地公园正门（东北）斜对面胡同里，导航非常好找。需要提前一天预约。烧烤店家提供场地，设备，木炭。整齐干净。桌子大，椅子多。每年六月底开始采摘季节，杏子，葡萄🍇。住宿大床房300元。还八人大套间。由于预约制度，这里人不多，烤起串来比较顺心。店家也很热情，会来看看你烤的怎么样，问需要什么。适合家庭聚餐，朋友聚会，小朋友玩耍起来也比较好看。还会再来的。					
大力水手popeye119,农家院很赞，还可以采摘葡萄。很凉快。一共十个菜，随便点都不出错😄
tiramisu丢,葡萄20一斤价格不算便宜都用纸袋包着看不到也不能尝店主拿着剪刀要哪个剪哪个没什么采摘的乐趣饭菜价格也不便宜
布丁奶茶778899,炖鸡非常好吃，跟老板要求加点土豆进入，老板很痛快的给加了。服务挺好的。
dpuser_16962942602,就在汉石桥湿地公园停车场旁边，农家菜，好像还可以外带烤串套餐。吃完逛公园，正好。
zss0906,环境不错，但人太多，而且定的自助还有人数限制。
觅食的喵,环境还不错只是葡萄没熟只采了些桃子黄瓜后来去了隔壁的那家不得不说隔壁那家的血丝李太好吃了开了那么久的车没有落空的感觉
王彦苹_7788,老板人超好，院子里有好多好多果蔬，养的小狗萌的不要不要的，住宿的东西基本都是宜家的，有烧烤有炒菜，停车位超级可爱～
dpuser_9050226617,环境和口味都比一般农家乐好些，但是厕所的卫生条件还是可以更好些。烤鱼好好吃！！！酸甜口，里面还放了蒜，很好吃！其他的也不错。但最好吃的绝对烤鱼。强烈推荐。
一刀平五千布,很棒的地方。带孩子来太合适了，吃喝玩乐样样都好。住宿也是棒棒哒。
手机调振动,不想自己准备东西，店家可以提供吗？炉子和烤肉之类的怎么收费？
MinamiyonO,一早到汉石桥湿地公园玩了一大圈中午正好过来烧烤。提前预约租了地儿，当天也正好赶上一个大炉子，我们自带的半成品肉串儿穿的多，如果是炉子小摆上还有点困难。院里环境好，绿植多，午饭点人满很热闹。舍里有烤肉自助，种类看着挺多而且店家有人负责烤省事。朋友烤串都是专业级别的，从买肉到带的用具都特全，炭火给力所以熟的快没怎么等就吃上了～看见秋千椅给我们兴奋坏了，一半时间撸串一半时间都在秋千椅上嘎呦了哈哈！					
张小女侠,朋友找的地儿，挺有fu的，这季节室外吃也凉快，还有一排的秋千可以玩～算是高大上的农家乐了吧。由于大肚子怀孕吃不了烧烤只好点农家饭，有点失望，尤其炖土鸡，那么贵都木有高级部位！！！估计全都贡献给烧烤了…扣一颗星					
健康成长,强烈推荐给每一位朋友的小院，很客观的说，适合家庭聚会和团队建设，最少也应该是三五好友或是三口之家，因为光小院的活动范围和设施对你的吸引就足以让你流连忘返。屋子种类很多，可以根据自己需要去选择，住宿你可以听到夜晚的蛐蛐叫听到清晨的鸡鸣狗叫，会感觉那种乡村生活的无比惬意。就餐一方面可以选择店家的炒菜，都是用上好的油做的，菜的品相已经超越家常菜但价格不贵，还有自酿葡萄酒建议尝尝，毕竟农舍也是以种葡萄为特色。中午可以选择烧烤，工具炉火俱全，还可以采摘买些农舍的菜和水果。院里除了葡萄架，还有些水果树、菜地，养了些鸡鸭兔狗，会得到充分放松。草坪很适合familyday或是小型的摄影以及场地活动。位置距离汉石桥不远，开车基本就在汉石桥斜对面一个小口里不要开快错过。					
sunshine香味,去汉石桥玩，随便找了家农家乐吃饭，在一大片朴实的农家乐中葡萄真是小清新得别具一格。就是村里缭绕不去的猪屎臭太倒胃口了。谨慎怀疑是某村民想沾好处被拒于是想出来这损人不利己的招数。烤鱼不错，摊鸡蛋也好，如果是香椿摊鸡蛋就更好了。炒时蔬一般般。烤串也普通。可以自己带东西过来烤。秋千架不错。					
